indicator_data_id,indicator_id,name,Measure,geo_type_name,geo_entity_id,year_description,data_value,message
124774,625,Adults Reporting Mold in the Home,Percent,UHF42,101,2012,8.4,Estimate is based on small numbers so should be interpreted with caution
124775,625,Adults Reporting Mold in the Home,Percent,UHF42,102,2012,8.9,Estimate is based on small numbers so should be interpreted with caution
124776,625,Adults Reporting Mold in the Home,Percent,UHF42,103,2012,18.7,NULL
124777,625,Adults Reporting Mold in the Home,Percent,UHF42,104,2012,14.4,NULL
124778,625,Adults Reporting Mold in the Home,Percent,UHF42,105,2012,11.8,NULL
124779,625,Adults Reporting Mold in the Home,Percent,UHF42,106,2012,11.8,NULL
124780,625,Adults Reporting Mold in the Home,Percent,UHF42,107,2012,11.8,NULL
124781,625,Adults Reporting Mold in the Home,Percent,UHF42,201,2012,16,NULL
124782,625,Adults Reporting Mold in the Home,Percent,UHF42,202,2012,7.6,NULL
124783,625,Adults Reporting Mold in the Home,Percent,UHF42,203,2012,9.4,NULL
124784,625,Adults Reporting Mold in the Home,Percent,UHF42,204,2012,10.9,NULL
124785,625,Adults Reporting Mold in the Home,Percent,UHF42,205,2012,7.6,Estimate is based on small numbers so should be interpreted with caution
124786,625,Adults Reporting Mold in the Home,Percent,UHF42,206,2012,10.4,NULL
124787,625,Adults Reporting Mold in the Home,Percent,UHF42,207,2012,11.8,NULL
124788,625,Adults Reporting Mold in the Home,Percent,UHF42,208,2012,8.2,NULL
124789,625,Adults Reporting Mold in the Home,Percent,UHF42,209,2012,13,Estimate is based on small numbers so should be interpreted with caution
124790,625,Adults Reporting Mold in the Home,Percent,UHF42,210,2012,10,Estimate is based on small numbers so should be interpreted with caution
124791,625,Adults Reporting Mold in the Home,Percent,UHF42,211,2012,12.2,NULL
124792,625,Adults Reporting Mold in the Home,Percent,UHF42,301,2012,17.2,NULL
124793,625,Adults Reporting Mold in the Home,Percent,UHF42,302,2012,9.1,Estimate is based on small numbers so should be interpreted with caution
124794,625,Adults Reporting Mold in the Home,Percent,UHF42,303,2012,7,Estimate is based on small numbers so should be interpreted with caution
124795,625,Adults Reporting Mold in the Home,Percent,UHF42,304,2012,6.9,Estimate is based on small numbers so should be interpreted with caution
124796,625,Adults Reporting Mold in the Home,Percent,UHF42,305,2012,5.8,NULL
124798,625,Adults Reporting Mold in the Home,Percent,UHF42,306,2012,3.5,Estimate is based on small numbers so should be interpreted with caution
124797,625,Adults Reporting Mold in the Home,Percent,UHF42,307,2012,5.8,NULL
124799,625,Adults Reporting Mold in the Home,Percent,UHF42,308,2012,3.5,Estimate is based on small numbers so should be interpreted with caution
124800,625,Adults Reporting Mold in the Home,Percent,UHF42,309,2012,6,Estimate is based on small numbers so should be interpreted with caution
124801,625,Adults Reporting Mold in the Home,Percent,UHF42,310,2012,6,Estimate is based on small numbers so should be interpreted with caution
124802,625,Adults Reporting Mold in the Home,Percent,UHF42,401,2012,6.9,Estimate is based on small numbers so should be interpreted with caution
124803,625,Adults Reporting Mold in the Home,Percent,UHF42,402,2012,10.8,NULL
124804,625,Adults Reporting Mold in the Home,Percent,UHF42,403,2012,5.4,Estimate is based on small numbers so should be interpreted with caution
124805,625,Adults Reporting Mold in the Home,Percent,UHF42,404,2012,NULL,Estimate is supressed due to insufficient data
124807,625,Adults Reporting Mold in the Home,Percent,UHF42,405,2012,7.1,Estimate is based on small numbers so should be interpreted with caution
124806,625,Adults Reporting Mold in the Home,Percent,UHF42,406,2012,NULL,Estimate is supressed due to insufficient data
124808,625,Adults Reporting Mold in the Home,Percent,UHF42,407,2012,8.6,Estimate is based on small numbers so should be interpreted with caution
124809,625,Adults Reporting Mold in the Home,Percent,UHF42,408,2012,11.6,NULL
124810,625,Adults Reporting Mold in the Home,Percent,UHF42,409,2012,8.9,Estimate is based on small numbers so should be interpreted with caution
124811,625,Adults Reporting Mold in the Home,Percent,UHF42,410,2012,13.9,Estimate is based on small numbers so should be interpreted with caution
124812,625,Adults Reporting Mold in the Home,Percent,UHF42,501,2012,9.5,NULL
124813,625,Adults Reporting Mold in the Home,Percent,UHF42,502,2012,9.5,NULL
124814,625,Adults Reporting Mold in the Home,Percent,UHF42,503,2012,3,Estimate is based on small numbers so should be interpreted with caution
124815,625,Adults Reporting Mold in the Home,Percent,UHF42,504,2012,3,Estimate is based on small numbers so should be interpreted with caution
12910,47,Adults Reporting Secondhand Smoke at Home,Percent,UHF42,101,2004,6.4,NULL
12911,47,Adults Reporting Secondhand Smoke at Home,Percent,UHF42,102,2004,11.7,NULL
12912,47,Adults Reporting Secondhand Smoke at Home,Percent,UHF42,103,2004,11.7,NULL
12913,47,Adults Reporting Secondhand Smoke at Home,Percent,UHF42,104,2004,14.3,NULL
12914,47,Adults Reporting Secondhand Smoke at Home,Percent,UHF42,105,2004,9.9,NULL
